Message_body,Label
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",NonSpam
happened here while you were adventuring,NonSpam
Compliments to you. Was away from the system. How your side.,NonSpam
I think that tantrum's finished so yeah I'll be by at some point,NonSpam
What about this one then.,NonSpam
Its just the effect of irritation. Just ignore it,NonSpam
"Total disappointment, when I texted you was the craziest shit got :(",NonSpam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,NonSpam
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,Spam
Going to join tomorrow.,NonSpam
Thats cool. I want to please you...,NonSpam
You are a big chic. Common. Declare,NonSpam
No. I dont want to hear anything,NonSpam
Can you pls send me that company name. In saibaba colany,NonSpam
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",NonSpam
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,NonSpam
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",NonSpam
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,NonSpam
Oh... Okie lor...We go on sat... ,NonSpam
Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,NonSpam
"Just making dinner, you ?",NonSpam
"It‘s reassuring, in this crazy world.",NonSpam
I went to project centre,NonSpam
Lol they were mad at first but then they woke up and gave in.,NonSpam
"Machan you go to gym tomorrow,  i wil come late goodnight.",NonSpam
I want to be inside you every night...,NonSpam
God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,NonSpam
What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,NonSpam
Wait . I will msg after  &lt;#&gt;  min.,NonSpam
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",NonSpam
Apo all other are mokka players only,NonSpam
PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,Spam
Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,NonSpam
Now get step 2 outta the way. Congrats again.,NonSpam
Why did I wake up on my own &gt;:(,NonSpam
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",Spam
Yes... I trust u to buy new stuff ASAP so I can try it out,NonSpam
"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",NonSpam
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",NonSpam
I think if he rule tamilnadu..then its very tough for our people.,NonSpam
Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Spam
U studying in sch or going home? Anyway i'll b going 2 sch later.,NonSpam
K. I will sent it again,NonSpam
Oh thanks a lot..i already bought 2 eggs ..,NonSpam
K. I will sent it again,NonSpam
2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,Spam
Ofcourse I also upload some songs,NonSpam
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,NonSpam
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",NonSpam
So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,NonSpam
URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,Spam
Shall call now dear having food,NonSpam
Have you seen who's back at Holby?!,NonSpam
Really do hope the work doesnt get stressful. Have a gr8 day.,NonSpam
No probably  &lt;#&gt; %.,NonSpam
What Today-sunday..sunday is holiday..so no work..,NonSpam
Yes princess! I want to please you every night. Your wish is my command...,NonSpam
Dhoni have luck to win some big title.so we will win:),NonSpam
Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,NonSpam
Ok lor ü reaching then message me.,NonSpam
Well obviously not because all the people in my cool college life went home ;_;,NonSpam
Yup,NonSpam
I thought slide is enough.,NonSpam
Ok lor.,NonSpam
"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",Spam
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,Spam
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,NonSpam
I will treasure every moment we spend together...,NonSpam
U GOIN OUT 2NITE?,NonSpam
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,Spam
Ok i thk i got it. Then u wan me 2 come now or wat?,NonSpam
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,NonSpam
"Sorry, I'll call later",NonSpam
Arun can u transfr me d amt,NonSpam
For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,Spam
Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,NonSpam
Im just wondering what your doing right now?,NonSpam
Except theres a chick with huge boobs.,NonSpam
What???? Hello wats talks email address?,NonSpam
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,NonSpam
Sac needs to carry on:),NonSpam
"Latest News! Police station toilet stolen, cops have nothing to go on!",Spam
"aight we can pick some up, you open before tonight?",NonSpam
So that takes away some money worries,NonSpam
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,NonSpam
"And that's fine, I got enough bud to last most of the night at least",NonSpam
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,NonSpam
You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,Spam
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",NonSpam
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",NonSpam
Thank you. do you generally date the brothas?,NonSpam
Hey i've booked the 2 lessons on sun liao...,NonSpam
What are youdoing later? Sar xxx,NonSpam
Am slow in using biola's fne,NonSpam
Mode men or have you left.,NonSpam
I'm wif him now buying tix lar...,NonSpam
Jesus armand really is trying to tell everybody he can find,NonSpam
You're gonna have to be way more specific than that,NonSpam
Thanx a lot 4 ur help!,NonSpam
If I was I wasn't paying attention,NonSpam
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",NonSpam
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",NonSpam
You didnt complete your gist oh.,NonSpam
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,Spam
Oh yeah! And my diet just flew out the window,NonSpam
Otherwise had part time job na-tuition..,NonSpam
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,NonSpam
"Sorry, I'll call later",NonSpam
Ok k..sry i knw 2 siva..tats y i askd..,NonSpam
"Hi elaine, is today's meeting confirmed?",NonSpam
I dont know oh. Hopefully this month.,NonSpam
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),NonSpam
So how are you really. What are you up to. How's the masters. And so on.,NonSpam
Nope. I just forgot. Will show next week,NonSpam
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,NonSpam
You should get more chicken broth if you want ramen unless there's some I don't know about,NonSpam
East coast,NonSpam
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,NonSpam
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,NonSpam
I ask if u meeting da ge tmr nite...,NonSpam
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",NonSpam
There is a first time for everything :),NonSpam
... Are you in the pub?,NonSpam
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,NonSpam
Dear are you angry i was busy dear,NonSpam
So how many days since then?,NonSpam
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,NonSpam
So gd got free ice cream... I oso wan...,NonSpam
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,NonSpam
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,NonSpam
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,NonSpam
And he's apparently bffs with carly quick now,NonSpam
Hi. Hope you had a good day. Have a better night.,NonSpam
That's necessarily respectful,NonSpam
As in i want custom officer discount oh.,NonSpam
Dunno lei shd b driving lor cos i go sch 1 hr oni.,NonSpam
I dont know exactly could you ask chechi.,NonSpam
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",NonSpam
Ooooooh I forgot to tell u I can get on yoville on my phone,NonSpam
Watching ajith film ah?,NonSpam
Nt joking seriously i told,NonSpam
Ok.ok ok..then..whats ur todays plan,NonSpam
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,NonSpam
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,NonSpam
I'm at work. Please call,NonSpam
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,NonSpam
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I’m knackered and i’m dreading work tonight. What are thou upto tonight. X,NonSpam
Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,NonSpam
"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",NonSpam
You have 1 new message. Call 0207-083-6089,Spam
Its sunny in california. The weather's just cool,NonSpam
Somebody set up a website where you can play hold em using eve online spacebucks,NonSpam
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,Spam
I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,NonSpam
I cant pick the phone right now. Pls send a message,NonSpam
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,NonSpam
"K I'll head out in a few mins, see you there",NonSpam
"Ok., is any problem to u frm him? Wats matter?",NonSpam
"Lol, oh you got a friend for the dog ?",NonSpam
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,Spam
Hi mom we might be back later than  &lt;#&gt; ,NonSpam
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,Spam
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,NonSpam
A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,Spam
Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Spam
"I think your mentor is , but not 100 percent sure.",NonSpam
I'm in inside office..still filling forms.don know when they leave me.,NonSpam
Yep get with the program. You're slacking.,NonSpam
"Hey, iouri gave me your number, I'm wylie, ryan's friend",NonSpam
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,NonSpam
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,NonSpam
Ok,NonSpam
Tell me something. Thats okay.,NonSpam
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",NonSpam
Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,NonSpam
Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,NonSpam
Good morning princess! Have a great day!,NonSpam
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,NonSpam
No one interested. May be some business plan.,NonSpam
I'm home...,NonSpam
Do I? I thought I put it back in the box,NonSpam
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,NonSpam
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",NonSpam
Wat ü doing now?,NonSpam
When you guys planning on coming over?,NonSpam
No go. No openings for that room 'til after thanksgiving without an upcharge.,NonSpam
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",Spam
And of course you should make a stink!,NonSpam
Are u awake? Is there snow there?,NonSpam
You'd like that wouldn't you? Jerk!,NonSpam
So when do you wanna gym?,NonSpam
My birthday is on feb  &lt;#&gt;  da. .,NonSpam
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,NonSpam
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,NonSpam
"Garbage bags, eggs, jam, bread, hannaford wheat chex",NonSpam
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",NonSpam
I think steyn surely get one wicket:),NonSpam
X course it 2yrs. Just so her messages on messenger lik you r sending me,NonSpam
Dude im no longer a pisces. Im an aquarius now.,NonSpam
"Sir, waiting for your letter.",NonSpam
Sweet heart how are you?,NonSpam
Wishing you a wonderful week.,NonSpam
What makes you most happy?,NonSpam
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",NonSpam
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",NonSpam
Aah bless! How's your arm?,NonSpam
"Thanks, I'll keep that in mind",NonSpam
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,NonSpam
But we havent got da topic yet rite?,NonSpam
Kothi print out marandratha.,NonSpam
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",NonSpam
"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",NonSpam
Jus finish watching tv... U?,NonSpam
Hahaha..use your brain dear,NonSpam
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,Spam
My sister going to earn more than me da.,NonSpam
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,NonSpam
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,NonSpam
"yeah, that's what I was thinking",NonSpam
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",NonSpam
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,NonSpam
What you did in  leave.,NonSpam
Ill be at yours in about 3 mins but look out for me,NonSpam
Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,NonSpam
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,NonSpam
"I can. But it will tell quite long, cos i haven't finish my film yet...",NonSpam
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,NonSpam
At WHAT TIME should i come tomorrow,NonSpam
I can't make it tonight,NonSpam
Well good morning mr . Hows london treatin' ya treacle?,NonSpam
I.ll hand her my phone to chat wit u,NonSpam
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,NonSpam
Are u coming to the funeral home,NonSpam
Alex says he's not ok with you not being ok with it,NonSpam
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,Spam
I donno its in your genes or something,NonSpam
Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,Spam
Xy trying smth now. U eat already? We havent...,NonSpam
Dear where you. Call me,NonSpam
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,NonSpam
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),NonSpam
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,NonSpam
I'm still pretty weak today .. Bad day ?,NonSpam
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",Spam
Sent me ur email id soon,NonSpam
"Yeah, probably here for a while",NonSpam
I have gone into get info bt dont know what to do,NonSpam
"And how you will do that, princess? :)",NonSpam
"Vikky, come around  &lt;TIME&gt; ..",NonSpam
"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",NonSpam
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",NonSpam
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,NonSpam
Oh yeah clearly it's my fault,NonSpam
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",NonSpam
Its too late:)but its k.wish you the same.,NonSpam
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",NonSpam
So u wan 2 come for our dinner tonight a not?,NonSpam
Did u fix the teeth?if not do it asap.ok take care.,NonSpam
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",Spam
"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",NonSpam
Anything lar then ü not going home 4 dinner?,NonSpam
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,NonSpam
Gud ni8.swt drms.take care,NonSpam
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",NonSpam
Pls speak with me. I wont ask anything other then you friendship.,NonSpam
Did you see that film:),NonSpam
I absolutely LOVE South Park! I only recently started watching the office.,NonSpam
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,NonSpam
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,NonSpam
1 in cbe. 2 in chennai.,NonSpam
"As usual..iam fine, happy &amp; doing well..:)",NonSpam
Well she's in for a big surprise!,NonSpam
Ok... Sweet dreams...,NonSpam
I didnt get anything da,NonSpam
Please tell me not all of my car keys are in your purse,NonSpam
You do your studies alone without anyones help. If you cant no need to study.,NonSpam
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",NonSpam
Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,Spam
"K I'm leaving soon, be there a little after 9",NonSpam
U come n search tat vid..not finishd..,NonSpam
Gud ni8 dear..slp well..take care..swt dreams..Muah..,NonSpam
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,NonSpam
Thank you princess! I want to see your nice juicy booty...,NonSpam
thanks for the temales it was wonderful. Thank. Have a great week.,NonSpam
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,NonSpam
Hmm thinking lor...,NonSpam
Its a part of checking IQ,NonSpam
"Gud gud..k, chikku tke care.. sleep well gud nyt",NonSpam
"Jay wants to work out first, how's 4 sound?",NonSpam
Yeah I can still give you a ride,NonSpam
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,Spam
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,NonSpam
Ok cool. See ya then.,NonSpam
Hey what how about your project. Started aha da.,NonSpam
YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,Spam
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,NonSpam
"Nope, I'm still in the market",NonSpam
It means u could not keep ur words.,NonSpam
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,Spam
I re-met alex nichols from middle school and it turns out he's dealing!,NonSpam
Prabha..i'm soryda..realy..frm heart i'm sory,NonSpam
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,NonSpam
OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,NonSpam
If I die I want u to have all my stuffs.,NonSpam
5 nights...We nt staying at port step liao...Too ex,NonSpam
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",NonSpam
I have to take exam with in march 3,NonSpam
Pls she needs to dat slowly or she will vomit more.,NonSpam
I accidentally brought em home in the box,NonSpam
Well thats nice. Too bad i cant eat it,NonSpam
I am late. I will be there at,NonSpam
I keep ten rs in my shelf:) buy two egg.,NonSpam
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,Spam
3 pa but not selected.,NonSpam
K.k.how is your business now?,NonSpam
It is only yesterday true true.,NonSpam
Dai i downloaded but there is only exe file which i can only run that exe after installing.,NonSpam
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",NonSpam
Hi.what you think about match?,NonSpam
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",NonSpam
I will reach ur home in  &lt;#&gt;  minutes,NonSpam
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Spam
How come she can get it? Should b quite diff to guess rite...,NonSpam
Me fine..absolutly fine,NonSpam
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,NonSpam
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Spam
Ugh my leg hurts. Musta overdid it on mon.,NonSpam
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,NonSpam
I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..,NonSpam
